0.0	2.0356789
0.01	0.7879305
0.02	0.5945649
0.03	0.4730601
0.04	0.3843327
0.05	0.313705
0.06	0.2575459
0.07	0.2116981
0.08	0.1758733
0.09	0.1567554
0.1	0.1564794
0.11	0.1564584
0.12	0.1557713
0.13	0.154326
0.14	0.1518764
0.15	0.1483107
0.16	0.1439366
0.17	0.1380072
0.18	0.1314683
0.19	0.1244812
0.2	0.118176
0.21	0.1128182
0.22	0.1069341
0.23	0.1010919
0.24	0.0962768
0.25	0.0931039
0.26	0.091495
0.27	0.0910606
0.28	0.0909801
0.29	0.0908675
0.3	0.0908418
0.31	0.0908122
0.32	0.0907869
0.33	0.0907187
0.34	0.0907102
0.35	0.0906878
0.36	0.0906444
0.37	0.0902662
0.38	0.0898929
0.39	0.0894847
0.4	0.088974
0.41	0.0883551
0.42	0.0876617
0.43	0.0868068
0.44	0.0858374
0.45	0.0847116
0.46	0.0835567
0.47	0.0821357
0.48	0.0805969
0.49	0.0788364
0.5	0.0769753
0.51	0.0748162
0.52	0.0726557
0.53	0.0708842
0.54	0.0693445
0.55	0.067739
0.56	0.066143
0.57	0.0644174
0.58	0.0630178
0.59	0.0621939
0.6	0.0621099
0.61	0.0620914
0.62	0.0620837
0.63	0.0620294
0.64	0.0620255
0.65	0.0620103
0.66	0.0619869
0.67	0.0619678
0.68	0.0619555
0.69	0.061902
0.7	0.0618525
0.71	0.0617728
0.72	0.0615826
0.73	0.0614123
0.74	0.0612268
0.75	0.0609856
0.76	0.0607042
0.77	0.0604115
0.78	0.0599651
0.79	0.0595312
0.8	0.0590587
0.81	0.05862
0.82	0.0580592
0.83	0.0574136
0.84	0.0567851
0.85	0.0560842
0.86	0.0552912
0.87	0.0544386
0.88	0.0534511
0.89	0.0523815
0.9	0.0511475
0.91	0.0497694
0.92	0.0482836
0.93	0.0464287
0.94	0.0442891
0.95	0.0416069
0.96	0.0384831
0.97	0.0343471
0.98	0.028801
1.0	0.0104489
